block,trap,latitude,longitude,nummosquitos,wnvpresent,year,month,day,station,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,species_CULEX ERRATICUS,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_CULEX SALINARIUS,species_CULEX TARSALIS,species_CULEX TERRITANS
41,002,41.95469,-87.800991,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0
41,002,41.95469,-87.800991,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0
41,002,41.95469,-87.800991,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
41,002,41.95469,-87.800991,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
62,007,41.994991,-87.769279,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
62,007,41.994991,-87.769279,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
79,015,41.974089,-87.824812,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0
79,015,41.974089,-87.824812,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0
79,015,41.974089,-87.824812,4,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
79,015,41.974089,-87.824812,4,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
15,045,41.9216,-87.666455,2,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
15,045,41.9216,-87.666455,2,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
25,046,41.891118,-87.654491,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
25,046,41.891118,-87.654491,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
11,048,41.867108,-87.654224,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0
11,048,41.867108,-87.654224,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0
11,048,41.867108,-87.654224,2,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
11,048,41.867108,-87.654224,2,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
11,049,41.896282,-87.655232,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
11,049,41.896282,-87.655232,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
21,050,41.919343,-87.694259,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0
21,050,41.919343,-87.694259,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0
22,054,41.921965,-87.632085,2,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0
22,054,41.921965,-87.632085,2,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0
22,054,41.921965,-87.632085,3,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
22,054,41.921965,-87.632085,3,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
22,086,41.688324,-87.676709,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0
22,086,41.688324,-87.676709,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0
22,086,41.688324,-87.676709,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
22,086,41.688324,-87.676709,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
11,091,41.862292,-87.64886,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
11,091,41.862292,-87.64886,1,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
17,094,41.720848,-87.666014,3,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,0,0,0
17,094,41.720848,-87.666014,3,0,2007,5,29,2,88,65,77.0,10.0,59,66.0,0.0,12.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,0,0,0
22,096,41.731922,-87.677512,1,0,2007,5,29,1,88,60,74.0,10.0,58,65.0,0.0,9.0,0.0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,0
